City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Vanimo,PG,-2.6741,141.3028,85.39,67,78,2.48,broken clouds
312,Saint-Augustin,CA,51.226,-58.6502,45.45,90,100,5.46,overcast clouds
313,Srednekolymsk,RU,67.45,153.6833,57.2,33,3,24.52,clear sky
314,Poso,ID,-1.3959,120.7524,82.26,65,29,5.5,scattered clouds
315,Arman,RU,59.7,150.1667,43.41,85,100,6.4,overcast clouds
316,Hofn,IS,64.2539,-15.2082,43.61,81,100,10.27,overcast clouds
317,Angoche,MZ,-16.2325,39.9086,70.86,80,72,7.0,broken clouds
318,Longyearbyen,SJ,78.2186,15.6401,28.24,64,40,12.66,scattered clouds
319,Dera Ghazi Khan,PK,30.0561,70.6348,93.9,13,0,0.94,clear sky
320,Mega,ET,4.05,38.3,56.68,90,90,9.93,overcast clouds
321,Tarakan,ID,3.3,117.6333,87.3,79,40,3.44,scattered clouds
322,Nesna,NO,66.1967,13.0213,41.0,80,67,1.01,broken clouds
323,Alice Springs,AU,-23.7,133.8833,51.35,46,0,16.22,clear sky
324,Vaitape,PF,-16.5167,-151.75,81.0,70,67,11.23,broken clouds
325,Coruripe,BR,-10.1256,-36.1756,74.93,78,30,8.88,scattered clouds
326,Labrea,BR,-7.2586,-64.7981,78.51,68,20,0.27,few clouds
327,Marathon,US,44.9,-89.7668,40.53,82,90,11.3,light rain
328,Chicama,PE,-7.8447,-79.1469,64.94,85,50,6.38,scattered clouds
329,West Plains,US,36.7281,-91.8524,65.32,97,75,1.59,broken clouds
330,Luderitz,NA,-26.6481,15.1594,58.06,72,6,8.34,clear sky
331,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,49,5.44,scattered clouds
332,Awjilah,LY,29.1081,21.2869,77.23,33,6,10.25,clear sky
333,Mykolayiv,UA,46.9659,31.9974,65.3,62,40,6.08,scattered clouds
334,Abu Samrah,SY,35.3029,37.1841,67.8,55,0,8.48,clear sky
335,Shubarkuduk,KZ,49.1447,56.4872,68.59,35,96,15.64,overcast clouds
